dummies,profitgrowth_tm1,rdsales_tm1
2,0.02685591413246181,0.007415218210534386
3,0.04446778790311124,0.020515351584160752
4,0.06264561752054386,0.03226616874180625
5,0.17931416046388063,0.09309808076544059
